time,symbol,open,high,low,close,volume
2026-05-25 04:15:00+00,BANKNIFTY,54918.55,54919.5,54901.55,54905.55,247668
2026-05-25 04:21:00+00,NIFTY,23939.15,23945.2,23936.55,23944.3,536670
2026-05-25 04:21:00+00,BANKNIFTY,54869.35,54875.1,54861.35,54874.2,352068
2026-05-25 04:22:00+00,NIFTY,23943.7,23943.7,23929.8,23929.8,620469
2026-05-25 04:22:00+00,BANKNIFTY,54865.55,54865.9,54837.9,54837.9,383892
2026-05-25 04:23:00+00,NIFTY,23936.6,23939.85,23932.3,23934.35,604915
2026-05-25 04:23:00+00,BANKNIFTY,54846.25,54850.95,54835.45,54844,573400
2026-05-25 04:24:00+00,NIFTY,23930.3,23934.9,23928.85,23934.9,616308
2026-05-25 04:24:00+00,BANKNIFTY,54833.15,54861.95,54830.05,54861,838889
2026-05-25 04:25:00+00,NIFTY,23938.35,23939.1,23928.95,23930.75,484759
2026-05-25 04:25:00+00,BANKNIFTY,54861.85,54869.1,54845.4,54846.75,397290
2026-05-25 04:26:00+00,NIFTY,23932.9,23936.1,23930.95,23934.7,479949
2026-05-25 04:26:00+00,BANKNIFTY,54850.1,54866.55,54846.1,54858.95,958405
2026-05-25 04:27:00+00,NIFTY,23936.75,23938.5,23932.35,23937.4,844119
2026-05-25 04:27:00+00,BANKNIFTY,54857.65,54870.85,54857.65,54866.7,730231
2026-05-25 04:28:00+00,NIFTY,23939.15,23939.6,23935.3,23936.6,749201
2026-05-25 04:28:00+00,BANKNIFTY,54857.1,54862.4,54846.85,54858.45,346148
2026-05-25 04:35:00+00,NIFTY,23944.95,23946.6,23942.2,23944.65,628790
2026-05-25 04:35:00+00,BANKNIFTY,54940.3,54951.65,54931.4,54947.65,558546
2026-05-25 04:36:00+00,NIFTY,23947.15,23947.4,23943.3,23944.8,728912
2026-05-25 04:36:00+00,BANKNIFTY,54953.8,54961.7,54934.7,54938.5,500390
2026-05-25 04:37:00+00,NIFTY,23950,23950,23944.15,23945.2,814144
2026-05-25 04:37:00+00,BANKNIFTY,54945.85,54946.3,54921.6,54925.45,492770
2026-05-25 04:38:00+00,NIFTY,23945.65,23947.05,23941.05,23943,694397
2026-05-25 04:38:00+00,BANKNIFTY,54929,54929,54906.55,54912.45,297411
2026-05-25 04:39:00+00,NIFTY,23946.95,23952.55,23944.05,23951.75,599411
2026-05-25 04:39:00+00,BANKNIFTY,54927.95,54950.1,54921.8,54944.6,525477
2026-05-25 04:46:00+00,NIFTY,23958.35,23958.45,23952.9,23953.6,756496
2026-05-25 04:46:00+00,BANKNIFTY,54976.8,54980.45,54954.35,54959.65,808434
2026-05-25 04:47:00+00,NIFTY,23957.6,23971.45,23955.45,23968.9,713025
2026-05-25 04:47:00+00,BANKNIFTY,54956.3,54984.65,54949.8,54984.35,437653
2026-05-25 05:59:00+00,NIFTY,23979.45,23979.45,23975.15,23978.4,313388
2026-05-25 05:59:00+00,BANKNIFTY,55073.3,55084,55071.45,55077.2,268379
2026-05-25 06:00:00+00,NIFTY,23978.45,23978.45,23974.75,23976.3,285578
2026-05-25 06:00:00+00,BANKNIFTY,55083.05,55083.75,55068,55076.1,259693
2026-05-25 06:01:00+00,NIFTY,23976.05,23978.65,23973.25,23974.5,269870
2026-05-25 06:01:00+00,BANKNIFTY,55072.05,55076.05,55061.9,55068,194489
2026-05-25 06:02:00+00,NIFTY,23975.95,23975.95,23971.75,23973.9,350392
2026-05-25 06:02:00+00,BANKNIFTY,55070.75,55083.1,55064.55,55078.5,208104
2026-05-25 06:03:00+00,NIFTY,23972.8,23972.8,23966.95,23971.05,262222
2026-05-25 06:03:00+00,BANKNIFTY,55078.5,55078.5,55062.3,55072.8,184873
2026-05-25 06:04:00+00,NIFTY,23964.95,23968.85,23962.4,23963.25,392315
2026-05-25 06:04:00+00,BANKNIFTY,55064,55075.15,55058.25,55068.1,183686
2026-05-25 06:05:00+00,NIFTY,23961.45,23966.1,23960.55,23964.95,400969
2026-05-25 06:05:00+00,BANKNIFTY,55061.7,55069.6,55055.3,55063.6,262812
2026-05-25 06:06:00+00,NIFTY,23968.2,23973.55,23964.3,23972.25,346468
2026-05-25 06:06:00+00,BANKNIFTY,55063.95,55068,55054.45,55059.6,231160
2026-05-25 06:11:00+00,NIFTY,23990.45,23990.45,23985.65,23986.2,283213
2026-05-25 06:11:00+00,BANKNIFTY,55111.6,55113.55,55099.75,55103.15,315497
2026-05-25 06:12:00+00,NIFTY,23988.35,23988.35,23981.55,23984,292790
2026-05-25 06:12:00+00,BANKNIFTY,55113.05,55113.05,55097,55104.4,248336
2026-05-25 06:13:00+00,NIFTY,23985.4,23985.65,23981.35,23982.15,342494
2026-05-25 06:13:00+00,BANKNIFTY,55100.5,55104.5,55091.1,55091.85,262972
2026-05-25 06:14:00+00,NIFTY,23983.7,23983.7,23978.15,23978.8,260634
2026-05-25 06:14:00+00,BANKNIFTY,55096.35,55096.95,55080.55,55086.65,407559
2026-05-25 06:15:00+00,NIFTY,23982.15,23984.6,23979.8,23982.45,515899
2026-05-25 06:15:00+00,BANKNIFTY,55096.1,55099.35,55087.35,55095.15,533766
2026-05-25 06:16:00+00,NIFTY,23984,23985.4,23982.45,23984.05,442583
2026-05-25 06:16:00+00,BANKNIFTY,55104.3,55114.45,55100.5,55114,547075
2026-05-25 06:17:00+00,NIFTY,23981.95,23982.3,23978.15,23981.6,435540
2026-05-25 06:17:00+00,BANKNIFTY,55105.75,55106.75,55093.05,55104.1,302022
2026-05-25 06:18:00+00,NIFTY,23987.05,23987.05,23980.45,23982.3,416965
2026-05-25 06:18:00+00,BANKNIFTY,55109.95,55112.25,55100.05,55108.35,220216
2026-05-25 06:19:00+00,NIFTY,23984.25,23984.25,23978.75,23981,310263
2026-05-25 06:19:00+00,BANKNIFTY,55110.05,55110.75,55098.65,55103,198609
2026-05-25 06:20:00+00,NIFTY,23982.85,23985.1,23979.6,23983.3,418470
2026-05-25 06:20:00+00,BANKNIFTY,55104.15,55113.5,55094.55,55111.05,925182
2026-05-25 06:21:00+00,NIFTY,23984.45,23985.25,23981.5,23982.5,510369
2026-05-25 06:21:00+00,BANKNIFTY,55108.4,55112.9,55101.6,55108.95,359307
2026-05-25 06:22:00+00,NIFTY,23984.7,23987.8,23983.1,23984.75,385192
2026-05-25 06:22:00+00,BANKNIFTY,55113.95,55122.15,55108.15,55113.25,332779
2026-05-25 06:23:00+00,NIFTY,23987.85,23987.85,23983.85,23987.65,463875
2026-05-25 06:23:00+00,BANKNIFTY,55120.55,55120.55,55102.45,55112.85,335603
2026-05-25 06:24:00+00,NIFTY,23987.65,23989.4,23984.8,23989.2,512021
2026-05-25 06:24:00+00,BANKNIFTY,55106.4,55108.05,55093.65,55103.3,222107
2026-05-25 06:25:00+00,NIFTY,23989.9,23990.95,23987.5,23989.2,556633
2026-05-25 06:25:00+00,BANKNIFTY,55110.5,55113.5,55104.7,55106.35,215889
2026-05-25 06:26:00+00,NIFTY,23989.3,23989.3,23984.9,23987.75,423609
2026-05-25 06:26:00+00,BANKNIFTY,55107.5,55107.5,55092.1,55103.2,244846
2026-05-25 06:27:00+00,NIFTY,23989.2,23989.6,23986.7,23988.05,690368
2026-05-25 06:27:00+00,BANKNIFTY,55105.1,55109.15,55096.8,55103.2,247346
2026-05-25 06:28:00+00,NIFTY,23990.2,23990.2,23986.65,23989.3,1067594
2026-05-25 06:28:00+00,BANKNIFTY,55105.1,55109.7,55097.7,55106.5,214032
2026-05-25 06:29:00+00,NIFTY,23992.7,23992.7,23986.8,23987.1,659070
2026-05-25 06:29:00+00,BANKNIFTY,55114.5,55116.1,55105,55108.9,330792
2026-05-25 06:30:00+00,NIFTY,23988.15,23988.15,23978.55,23980,568082
2026-05-25 06:30:00+00,BANKNIFTY,55102.1,55102.1,55061,55063.2,428666
2026-05-25 06:31:00+00,NIFTY,23978.25,23978.25,23971.65,23974.95,725269
2026-05-25 06:31:00+00,BANKNIFTY,55055.85,55062.7,55038.9,55056.7,545827
2026-05-25 06:32:00+00,NIFTY,23974.55,23978.5,23971.05,23972.8,958176
2026-05-25 06:32:00+00,BANKNIFTY,55058.05,55067.45,55045.65,55056.8,179067
2026-05-25 04:16:00+00,NIFTY,23948.75,23948.75,23942.3,23944.05,680396
2026-05-25 04:16:00+00,BANKNIFTY,54913.95,54913.95,54889.95,54890.95,538074
2026-05-25 04:17:00+00,NIFTY,23944.55,23944.55,23933.6,23940.1,768522
2026-05-25 04:17:00+00,BANKNIFTY,54889.65,54894.7,54860.65,54892.65,821281
2026-05-25 04:18:00+00,NIFTY,23936.65,23937.3,23925.15,23927.35,749353
2026-05-25 04:18:00+00,BANKNIFTY,54888.25,54896.4,54867.2,54870.85,474286
2026-05-25 04:19:00+00,NIFTY,23927.65,23934.35,23926.2,23933.55,624808
2026-05-25 04:19:00+00,BANKNIFTY,54854.45,54866.35,54847,54853.5,498346
2026-05-25 04:20:00+00,NIFTY,23938.2,23941.25,23934.85,23940.2,478659
2026-05-25 04:20:00+00,BANKNIFTY,54859.15,54869.3,54851.75,54868.95,796251
2026-05-25 04:29:00+00,NIFTY,23938.3,23938.75,23933.25,23935,453729
2026-05-25 04:29:00+00,BANKNIFTY,54866,54873.9,54857.35,54859.35,325028
2026-05-25 04:30:00+00,NIFTY,23938.75,23944.9,23935.5,23937.3,771887
2026-05-25 04:30:00+00,BANKNIFTY,54869.4,54885.35,54863,54865.45,1050392
2026-05-25 04:31:00+00,NIFTY,23938,23941.8,23936,23939.9,671618
2026-05-25 04:31:00+00,BANKNIFTY,54864,54883.55,54861.8,54878.4,383054
2026-05-25 04:32:00+00,NIFTY,23940.4,23940.95,23933.45,23936.05,764152
2026-05-25 04:32:00+00,BANKNIFTY,54878.4,54887.6,54875.35,54882.6,609952
2026-05-25 04:33:00+00,NIFTY,23939.3,23939.4,23936,23939.4,5959182
2026-05-25 04:33:00+00,BANKNIFTY,54883.05,54895.25,54880.45,54891.65,537907
2026-05-25 04:34:00+00,NIFTY,23944,23946.9,23942.5,23943.75,721435
2026-05-25 04:34:00+00,BANKNIFTY,54916.85,54957.7,54916.85,54940.45,1330830
2026-05-25 04:40:00+00,NIFTY,23954.35,23954.5,23950.5,23951.5,587861
2026-05-25 04:40:00+00,BANKNIFTY,54942.95,54950.2,54937.6,54942.3,402774
2026-05-25 04:41:00+00,NIFTY,23956.95,23959.85,23955.1,23956.45,802952
2026-05-25 04:41:00+00,BANKNIFTY,54955.5,54957.4,54943.6,54951.15,406485
2026-05-25 04:42:00+00,NIFTY,23956.25,23956.25,23945.2,23947.25,1004265
2026-05-25 04:42:00+00,BANKNIFTY,54949.3,54951.95,54927.3,54941.95,416773
2026-05-25 04:43:00+00,NIFTY,23951.95,23955.2,23951.15,23951.65,662780
2026-05-25 04:43:00+00,BANKNIFTY,54945.5,54962.75,54945.25,54954.4,712027
2026-05-25 04:44:00+00,NIFTY,23954.4,23954.4,23948.35,23951.75,537919
2026-05-25 04:44:00+00,BANKNIFTY,54958.15,54961.15,54947.5,54956.2,248310
2026-05-25 04:45:00+00,NIFTY,23953.85,23959.45,23952.6,23957.6,518092
2026-05-25 04:45:00+00,BANKNIFTY,54960.1,54976.1,54957.9,54974.25,1513354
2026-05-25 04:48:00+00,NIFTY,23970.1,23972.6,23967.65,23972.6,523138
