time,symbol,expiry,strike,option_type,open,high,low,close,volume
2026-05-25 03:58:00+00,NIFTY,2026-05-26,24000,PE,113,115.2,112.3,112.85,903890
2026-05-25 03:59:00+00,NIFTY,2026-05-26,24000,PE,112.45,114.85,111.5,112.85,683995
2026-05-25 04:00:00+00,NIFTY,2026-05-26,24000,PE,111.85,113.85,111.65,112.55,533715
2026-05-25 03:56:00+00,BANKNIFTY,2026-05-26,54900,CE,358.5,358.5,345.45,353.55,60540
2026-05-25 03:57:00+00,BANKNIFTY,2026-05-26,54900,CE,351.95,354.1,338.1,351.45,63510
2026-05-25 03:58:00+00,BANKNIFTY,2026-05-26,54900,CE,349.9,359.2,346.95,355.3,66570
2026-05-25 03:59:00+00,BANKNIFTY,2026-05-26,54900,CE,357.85,357.85,348.6,352.7,42360
2026-05-25 04:00:00+00,BANKNIFTY,2026-05-26,54900,CE,353.55,353.7,345.55,353.4,37950
2026-05-25 03:56:00+00,BANKNIFTY,2026-05-26,54900,PE,260,267.15,257.45,261.75,46950
2026-05-25 03:57:00+00,BANKNIFTY,2026-05-26,54900,PE,264.1,273.2,259,260.15,41640
2026-05-25 03:58:00+00,BANKNIFTY,2026-05-26,54900,PE,260.55,264.3,253.7,253.7,41790
2026-05-25 03:59:00+00,BANKNIFTY,2026-05-26,54900,PE,253.4,264.5,252.05,261.6,31530
2026-05-25 04:00:00+00,BANKNIFTY,2026-05-26,54900,PE,259.35,263.85,252.65,253.8,29820
2026-05-25 05:06:00+00,NIFTY,2026-05-26,24000,CE,96.5,98.25,96.4,97.95,2972840
2026-05-25 05:07:00+00,NIFTY,2026-05-26,24000,CE,99,99.75,97.35,99.15,2629705
2026-05-25 05:08:00+00,NIFTY,2026-05-26,24000,CE,99.15,100.1,97.35,97.65,2308410
2026-05-25 05:09:00+00,NIFTY,2026-05-26,24000,CE,97.85,97.85,95.2,97.7,1625845
2026-05-25 05:10:00+00,NIFTY,2026-05-26,24000,CE,98.85,102.75,98.35,102.3,2211040
2026-05-25 05:06:00+00,NIFTY,2026-05-26,24000,PE,99.5,101.1,98.65,98.75,1987700
2026-05-25 05:07:00+00,NIFTY,2026-05-26,24000,PE,97.6,99.2,96.55,97.05,1578330
2026-05-25 05:08:00+00,NIFTY,2026-05-26,24000,PE,96.8,99.75,96.6,99.3,1143935
2026-05-25 05:09:00+00,NIFTY,2026-05-26,24000,PE,99.15,102,99.15,99.9,1244165
2026-05-25 05:10:00+00,NIFTY,2026-05-26,24000,PE,98.8,98.8,95,95.8,1081080
2026-05-25 05:06:00+00,BANKNIFTY,2026-05-26,55100,CE,296.05,297.75,284.35,288.4,75720
2026-05-25 05:07:00+00,BANKNIFTY,2026-05-26,55100,CE,292.8,299,285,292.5,52080
2026-05-25 05:08:00+00,BANKNIFTY,2026-05-26,55100,CE,292.25,295.4,288.15,288.4,43350
2026-05-25 05:09:00+00,BANKNIFTY,2026-05-26,55100,CE,289.85,296.15,287.7,295.65,34140
2026-05-25 05:10:00+00,BANKNIFTY,2026-05-26,55100,CE,296.95,303.7,294.5,301.2,52500
2026-05-25 05:06:00+00,BANKNIFTY,2026-05-26,55100,PE,269.75,278,269.05,276.25,38520
2026-05-25 05:07:00+00,BANKNIFTY,2026-05-26,55100,PE,274.65,281.75,272,276.05,29850
2026-05-25 05:08:00+00,BANKNIFTY,2026-05-26,55100,PE,276.45,281.85,276.4,280.4,17670
2026-05-25 05:09:00+00,BANKNIFTY,2026-05-26,55100,PE,280.25,283,275.05,275.05,27240
2026-05-25 05:10:00+00,BANKNIFTY,2026-05-26,55100,PE,273.95,275.4,269.45,270,22710
2026-05-25 05:26:00+00,NIFTY,2026-05-26,24000,CE,91.95,93.85,91.7,93.1,778310
2026-05-25 05:27:00+00,NIFTY,2026-05-26,24000,CE,92.9,93.45,90.75,90.85,1007890
2026-05-25 05:28:00+00,NIFTY,2026-05-26,24000,CE,91,91.3,89.6,89.7,1324960
2026-05-25 05:29:00+00,NIFTY,2026-05-26,24000,CE,90,91.65,89.35,90,977795
2026-05-25 05:30:00+00,NIFTY,2026-05-26,24000,CE,90.15,90.8,88.6,90.2,1034280
2026-05-25 05:26:00+00,NIFTY,2026-05-26,24000,PE,104.7,104.7,102.1,103.7,629980
2026-05-25 05:27:00+00,NIFTY,2026-05-26,24000,PE,103.55,105.6,102.95,105.5,927030
2026-05-25 05:28:00+00,NIFTY,2026-05-26,24000,PE,105.7,106.25,105.15,106.25,1065870
2026-05-25 05:29:00+00,NIFTY,2026-05-26,24000,PE,106.15,106.35,103.75,105.25,794430
2026-05-25 05:30:00+00,NIFTY,2026-05-26,24000,PE,105.1,106.8,104.65,105.2,705380
2026-05-25 05:26:00+00,BANKNIFTY,2026-05-26,55000,CE,331.55,339.55,331.55,338.25,31350
2026-05-25 05:27:00+00,BANKNIFTY,2026-05-26,55000,CE,337.8,337.8,322.7,327.25,76620
2026-05-25 05:28:00+00,BANKNIFTY,2026-05-26,55000,CE,327.8,332.4,325.6,329.1,66660
2026-05-25 05:29:00+00,BANKNIFTY,2026-05-26,55000,CE,329,342,329,339.95,57330
2026-05-25 05:30:00+00,BANKNIFTY,2026-05-26,55000,CE,339.25,341.8,332.6,334.75,24090
2026-05-25 05:26:00+00,BANKNIFTY,2026-05-26,55000,PE,245.5,245.5,241.4,243.4,33780
2026-05-25 05:27:00+00,BANKNIFTY,2026-05-26,55000,PE,242.8,250.05,242.8,249.35,71160
2026-05-25 05:28:00+00,BANKNIFTY,2026-05-26,55000,PE,249.55,250.95,246.45,249.45,52440
2026-05-25 05:29:00+00,BANKNIFTY,2026-05-26,55000,PE,249,249,235.2,240.1,75330
2026-05-25 05:30:00+00,BANKNIFTY,2026-05-26,55000,PE,239.9,245.25,238,244.15,19770
2026-05-25 05:35:00+00,NIFTY,2026-05-26,24000,CE,92.85,94.75,91.1,91.3,1897740
2026-05-25 05:31:00+00,NIFTY,2026-05-26,24000,PE,106.1,106.3,104.75,105.7,572520
2026-05-25 05:32:00+00,NIFTY,2026-05-26,24000,PE,106,108.2,105.75,106.6,1041105
2026-05-25 05:33:00+00,NIFTY,2026-05-26,24000,PE,106.85,107.6,104.4,104.4,673920
2026-05-25 05:34:00+00,NIFTY,2026-05-26,24000,PE,103.85,104.8,101.95,102.15,1072565
2026-05-25 05:35:00+00,NIFTY,2026-05-26,24000,PE,101.55,103.5,99.35,102.9,1266590
2026-05-25 05:31:00+00,BANKNIFTY,2026-05-26,55100,CE,272.5,276.4,271.1,271.95,22320
2026-05-25 05:32:00+00,BANKNIFTY,2026-05-26,55100,CE,271.45,275.95,265.75,275,40350
2026-05-25 05:33:00+00,BANKNIFTY,2026-05-26,55100,CE,274.45,284.6,274.45,284.6,29220
2026-05-25 05:34:00+00,BANKNIFTY,2026-05-26,55100,CE,287.65,295,287,295,85860
2026-05-25 05:35:00+00,BANKNIFTY,2026-05-26,55100,CE,293.2,294.55,288,288.45,33990
2026-05-25 05:31:00+00,BANKNIFTY,2026-05-26,55100,PE,295.4,298,293.05,297.45,28710
2026-05-25 05:32:00+00,BANKNIFTY,2026-05-26,55100,PE,297.9,300,292.3,293.2,24060
2026-05-25 05:33:00+00,BANKNIFTY,2026-05-26,55100,PE,293.5,295,280.55,280.55,27750
2026-05-25 05:34:00+00,BANKNIFTY,2026-05-26,55100,PE,277.5,278.7,273.15,274.65,39750
2026-05-25 05:35:00+00,BANKNIFTY,2026-05-26,55100,PE,274.45,282.15,274.45,281.2,12090
2026-05-25 05:36:00+00,NIFTY,2026-05-26,24000,CE,90.6,92.1,89.1,91.9,1094080
2026-05-25 05:37:00+00,NIFTY,2026-05-26,24000,CE,91.85,92.2,89.55,89.8,597220
2026-05-25 05:38:00+00,NIFTY,2026-05-26,24000,CE,89.6,90.9,88.75,90.8,560495
2026-05-25 05:39:00+00,NIFTY,2026-05-26,24000,CE,90.75,91.5,89.55,89.55,464945
2026-05-25 05:40:00+00,NIFTY,2026-05-26,24000,CE,90,90.55,88.75,89.1,415610
2026-05-25 04:01:00+00,NIFTY,2026-05-26,23950,CE,122.8,125.9,118.35,119.05,1442025
2026-05-25 04:02:00+00,NIFTY,2026-05-26,23950,CE,118.8,121.35,115.1,118.35,1406600
2026-05-25 04:03:00+00,NIFTY,2026-05-26,23950,CE,117.85,124.4,117.85,121.35,1277055
2026-05-25 04:04:00+00,NIFTY,2026-05-26,23950,CE,120.55,121.55,116.2,119.35,839670
2026-05-25 04:05:00+00,NIFTY,2026-05-26,23950,CE,118.6,118.6,115.6,117.3,374920
2026-05-25 04:01:00+00,NIFTY,2026-05-26,23950,PE,94,98.4,92.05,98.05,2169180
2026-05-25 04:02:00+00,NIFTY,2026-05-26,23950,PE,97.55,100.2,95.6,97.5,2315235
2026-05-25 04:03:00+00,NIFTY,2026-05-26,23950,PE,97.9,98,92.35,95,1444105
2026-05-25 04:04:00+00,NIFTY,2026-05-26,23950,PE,94.9,99.55,94.45,96.95,1396460
2026-05-25 04:05:00+00,NIFTY,2026-05-26,23950,PE,97.8,100.4,97.8,99.15,841815
2026-05-25 04:01:00+00,BANKNIFTY,2026-05-26,54900,CE,345.65,352.05,341.65,348.85,34920
2026-05-25 04:02:00+00,BANKNIFTY,2026-05-26,54900,CE,347.85,358.85,346.6,351.5,61320
2026-05-25 04:03:00+00,BANKNIFTY,2026-05-26,54900,CE,350.05,353.4,343.45,344.65,39900
2026-05-25 04:04:00+00,BANKNIFTY,2026-05-26,54900,CE,341,348.15,336.1,347.6,51060
2026-05-25 04:05:00+00,BANKNIFTY,2026-05-26,54900,CE,341.65,345.1,333.9,339.5,21480
2026-05-25 04:01:00+00,BANKNIFTY,2026-05-26,54900,PE,261.85,263.7,255,255.2,33090
2026-05-25 04:02:00+00,BANKNIFTY,2026-05-26,54900,PE,257.55,263.15,250,259,46470
2026-05-25 04:03:00+00,BANKNIFTY,2026-05-26,54900,PE,261,266.65,258.7,266.35,46500
2026-05-25 04:04:00+00,BANKNIFTY,2026-05-26,54900,PE,267.95,272.25,264.05,268.05,54330
2026-05-25 04:05:00+00,BANKNIFTY,2026-05-26,54900,PE,272,275.35,269.65,269.85,29970
2026-05-25 04:06:00+00,NIFTY,2026-05-26,23950,CE,113.7,115.55,111,113.65,1378845
2026-05-25 04:07:00+00,NIFTY,2026-05-26,23950,CE,113.5,117.4,111.9,116.75,1090050
2026-05-25 04:08:00+00,NIFTY,2026-05-26,23950,CE,116.3,116.85,110.3,110.3,1056965
2026-05-25 04:09:00+00,NIFTY,2026-05-26,23950,CE,109.1,113.9,109.1,111.8,1016275
2026-05-25 04:10:00+00,NIFTY,2026-05-26,23950,CE,111.35,111.75,108.2,108.75,661245
2026-05-25 04:06:00+00,NIFTY,2026-05-26,23950,PE,101.9,104.2,100.6,102.3,2771405
2026-05-25 04:07:00+00,NIFTY,2026-05-26,23950,PE,102.6,104.8,99.85,100,1573325
2026-05-25 04:08:00+00,NIFTY,2026-05-26,23950,PE,100.7,105.7,99.7,105.7,1245465
2026-05-25 04:09:00+00,NIFTY,2026-05-26,23950,PE,106.7,106.7,102.6,104.55,1606085
2026-05-25 04:10:00+00,NIFTY,2026-05-26,23950,PE,104.55,107.6,104.55,106.7,927420
2026-05-25 04:06:00+00,BANKNIFTY,2026-05-26,54900,CE,330.9,339.3,325.25,327.8,62070
2026-05-25 04:07:00+00,BANKNIFTY,2026-05-26,54900,CE,325.95,345,323,345,53940
2026-05-25 04:08:00+00,BANKNIFTY,2026-05-26,54900,CE,343.15,345,326.5,326.5,46800
2026-05-25 04:09:00+00,BANKNIFTY,2026-05-26,54900,CE,324.1,342,324.05,332.8,33000
2026-05-25 04:10:00+00,BANKNIFTY,2026-05-26,54900,CE,333.2,334.05,325.75,328.2,19530
2026-05-25 04:06:00+00,BANKNIFTY,2026-05-26,54900,PE,273.65,276.15,266.15,274.75,45300
2026-05-25 04:07:00+00,BANKNIFTY,2026-05-26,54900,PE,277.05,277.1,259.1,259.25,56520
2026-05-25 04:08:00+00,BANKNIFTY,2026-05-26,54900,PE,259.3,273,257.5,272.7,51690
2026-05-25 04:09:00+00,BANKNIFTY,2026-05-26,54900,PE,275,275,262.9,270.7,35400
2026-05-25 04:10:00+00,BANKNIFTY,2026-05-26,54900,PE,269.65,274.8,268.95,271.5,19290
2026-05-25 04:11:00+00,NIFTY,2026-05-26,23950,CE,111.95,114.5,107.65,108.25,1398280
2026-05-25 04:12:00+00,NIFTY,2026-05-26,23950,CE,108.3,113.4,108.3,111,878475
2026-05-25 04:13:00+00,NIFTY,2026-05-26,23950,CE,110.6,110.85,105.95,106.55,1101945
2026-05-25 04:14:00+00,NIFTY,2026-05-26,23950,CE,106.75,115.5,106.75,115.15,1392365
2026-05-25 04:15:00+00,NIFTY,2026-05-26,23950,CE,115.1,116.35,110.1,110.1,1126775
2026-05-25 04:11:00+00,NIFTY,2026-05-26,23950,PE,102.4,107.95,100.5,107.45,1578460
2026-05-25 04:12:00+00,NIFTY,2026-05-26,23950,PE,107.45,107.45,101.8,104.75,1013415
2026-05-25 04:13:00+00,NIFTY,2026-05-26,23950,PE,105.2,109.25,105,107.5,1424930
2026-05-25 04:14:00+00,NIFTY,2026-05-26,23950,PE,107.8,107.8,97.55,97.6,1545700
2026-05-25 04:15:00+00,NIFTY,2026-05-26,23950,PE,97.5,102.95,96.1,102.7,946855
